PS C:\Users\xiute\Desktop\TriageIA> python trainert5.py
🔼 Selecciona el archivo CSV con tus datos
✅ Archivo cargado: C:/Users/xiute/Desktop/TriageIA/dbmod.csv

🚀 Entrenando T5 para: ESPECIALIDAD
Map: 100%|█████████████████████████████████████████████████████████████████████████████████| 1815/1815 [00:00<00:00, 3795.04 examples/s]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████| 202/202 [00:00<00:00, 4241.87 examples/s]
C:\Users\xiute\Desktop\TriageIA\trainert5.py:78: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
  0%|                                                                                                          | 0/1816 [00:00<?, ?it/s]C:\Users\xiute\Desktop\TriageIA\venv\lib\site-packages\torch\utils\data\dataloader.py:665: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  warnings.warn(warn_msg)
Passing a tuple of `past_key_values` is deprecated and will be removed in Transformers v4.48.0. You should pass an instance of `EncoderDecoderCache` instead, e.g. `past_key_values=EncoderDecoderCache.from_legacy_cache(past_key_values)`.
{'loss': 4.4854, 'grad_norm': 6.1873650550842285, 'learning_rate': 0.0002985132158590308, 'epoch': 0.02}
{'loss': 0.8432, 'grad_norm': 2.0651161670684814, 'learning_rate': 0.0002968612334801762, 'epoch': 0.04}                                 
{'loss': 0.4548, 'grad_norm': 3.6642887592315674, 'learning_rate': 0.00029520925110132154, 'epoch': 0.07}                                
{'loss': 0.2661, 'grad_norm': 1.554974913597107, 'learning_rate': 0.0002935572687224669, 'epoch': 0.09}                                  
{'loss': 0.1698, 'grad_norm': 1.0632628202438354, 'learning_rate': 0.0002919052863436123, 'epoch': 0.11}                                 
{'loss': 0.1428, 'grad_norm': 0.7371447086334229, 'learning_rate': 0.0002902533039647577, 'epoch': 0.13}                                 
{'loss': 0.1678, 'grad_norm': 3.770162582397461, 'learning_rate': 0.000288601321585903, 'epoch': 0.15}                                   
{'loss': 0.0785, 'grad_norm': 0.6101465225219727, 'learning_rate': 0.0002869493392070484, 'epoch': 0.18}                                 
{'loss': 0.0928, 'grad_norm': 0.5559350252151489, 'learning_rate': 0.0002852973568281938, 'epoch': 0.2}                                  
{'loss': 0.1024, 'grad_norm': 0.92475426197052, 'learning_rate': 0.00028364537444933917, 'epoch': 0.22}                                  
{'loss': 0.0997, 'grad_norm': 0.4070446193218231, 'learning_rate': 0.00028199339207048455, 'epoch': 0.24}                                
{'loss': 0.0769, 'grad_norm': 5.462868690490723, 'learning_rate': 0.00028034140969162994, 'epoch': 0.26}                                 
{'loss': 0.0782, 'grad_norm': 0.31997138261795044, 'learning_rate': 0.0002786894273127753, 'epoch': 0.29}                                
{'loss': 0.0856, 'grad_norm': 0.5837892889976501, 'learning_rate': 0.0002770374449339207, 'epoch': 0.31}                                 
{'loss': 0.0673, 'grad_norm': 0.34030574560165405, 'learning_rate': 0.00027538546255506603, 'epoch': 0.33}                               
{'loss': 0.0602, 'grad_norm': 0.4467756748199463, 'learning_rate': 0.0002737334801762114, 'epoch': 0.35}                                 
{'loss': 0.0591, 'grad_norm': 0.34755459427833557, 'learning_rate': 0.0002720814977973568, 'epoch': 0.37}                                
{'loss': 0.0606, 'grad_norm': 0.47584831714630127, 'learning_rate': 0.0002704295154185022, 'epoch': 0.4}                                 
{'loss': 0.0726, 'grad_norm': 0.49949201941490173, 'learning_rate': 0.00026877753303964757, 'epoch': 0.42}                               
{'loss': 0.0689, 'grad_norm': 0.42565783858299255, 'learning_rate': 0.00026712555066079295, 'epoch': 0.44}                               
{'loss': 0.0534, 'grad_norm': 0.4086414575576782, 'learning_rate': 0.0002654735682819383, 'epoch': 0.46}                                 
{'loss': 0.0643, 'grad_norm': 0.31611186265945435, 'learning_rate': 0.00026382158590308367, 'epoch': 0.48}                               
{'loss': 0.0473, 'grad_norm': 0.2106628119945526, 'learning_rate': 0.00026216960352422905, 'epoch': 0.51}                                
{'loss': 0.0494, 'grad_norm': 0.6000198721885681, 'learning_rate': 0.00026051762114537443, 'epoch': 0.53}                                
{'loss': 0.0587, 'grad_norm': 0.3814582824707031, 'learning_rate': 0.00025886563876651976, 'epoch': 0.55}                                
{'loss': 0.0487, 'grad_norm': 0.30508068203926086, 'learning_rate': 0.00025721365638766515, 'epoch': 0.57}                               
{'loss': 0.063, 'grad_norm': 0.31549668312072754, 'learning_rate': 0.00025556167400881053, 'epoch': 0.59}                                
{'loss': 0.0554, 'grad_norm': 0.48156067728996277, 'learning_rate': 0.0002539096916299559, 'epoch': 0.62}                                
{'loss': 0.05, 'grad_norm': 0.5340598821640015, 'learning_rate': 0.0002522577092511013, 'epoch': 0.64}                                   
{'loss': 0.0598, 'grad_norm': 0.7435802817344666, 'learning_rate': 0.0002506057268722467, 'epoch': 0.66}                                 
{'loss': 0.0551, 'grad_norm': 0.6377494931221008, 'learning_rate': 0.00024895374449339207, 'epoch': 0.68}                                
{'loss': 0.0491, 'grad_norm': 0.38102540373802185, 'learning_rate': 0.00024730176211453745, 'epoch': 0.7}                                
{'loss': 0.0514, 'grad_norm': 0.5807049870491028, 'learning_rate': 0.0002456497797356828, 'epoch': 0.73}                                 
{'loss': 0.0547, 'grad_norm': 0.5941497087478638, 'learning_rate': 0.00024399779735682816, 'epoch': 0.75}                                
{'loss': 0.053, 'grad_norm': 0.5872672200202942, 'learning_rate': 0.00024234581497797355, 'epoch': 0.77}                                 
{'loss': 0.0513, 'grad_norm': 0.3389471173286438, 'learning_rate': 0.00024069383259911893, 'epoch': 0.79}                                
{'loss': 0.0642, 'grad_norm': 0.415178120136261, 'learning_rate': 0.00023904185022026429, 'epoch': 0.81}                                 
{'loss': 0.0535, 'grad_norm': 0.5680986642837524, 'learning_rate': 0.00023738986784140967, 'epoch': 0.84}                                
{'loss': 0.0551, 'grad_norm': 0.5310048460960388, 'learning_rate': 0.00023573788546255505, 'epoch': 0.86}                                
{'loss': 0.0541, 'grad_norm': 0.3135567009449005, 'learning_rate': 0.00023408590308370044, 'epoch': 0.88}                                
{'loss': 0.0535, 'grad_norm': 0.44244566559791565, 'learning_rate': 0.00023243392070484582, 'epoch': 0.9}                                
{'loss': 0.0508, 'grad_norm': 0.5621691346168518, 'learning_rate': 0.00023078193832599115, 'epoch': 0.93}                                
{'loss': 0.04, 'grad_norm': 0.17641298472881317, 'learning_rate': 0.00022912995594713653, 'epoch': 0.95}                                 
{'loss': 0.0482, 'grad_norm': 0.271856427192688, 'learning_rate': 0.00022747797356828192, 'epoch': 0.97}                                 
{'loss': 0.0493, 'grad_norm': 0.40266725420951843, 'learning_rate': 0.0002258259911894273, 'epoch': 0.99}                                
{'loss': 0.0437, 'grad_norm': 0.5337810516357422, 'learning_rate': 0.00022417400881057266, 'epoch': 1.01}                                
{'loss': 0.0429, 'grad_norm': 0.3693934977054596, 'learning_rate': 0.00022252202643171804, 'epoch': 1.04}                                
{'loss': 0.042, 'grad_norm': 0.2866615355014801, 'learning_rate': 0.00022087004405286343, 'epoch': 1.06}                                 
{'loss': 0.0406, 'grad_norm': 0.500923752784729, 'learning_rate': 0.0002192180616740088, 'epoch': 1.08}                                  
{'loss': 0.0511, 'grad_norm': 0.5308429002761841, 'learning_rate': 0.00021756607929515414, 'epoch': 1.1}                                 
